id,region,name,tags,mod_name
20000,None,Progressive Tile,NOT_TILE,
21000,Backwoods,Tilesanity: Backwoods (1-1),"TILESANITY,NOT_TILE",
21001,Backwoods,Tilesanity: Backwoods (1-2),"TILESANITY,NOT_TILE",
21002,Backwoods,Tilesanity: Backwoods (1-3),"TILESANITY,NOT_TILE",
21003,Backwoods,Tilesanity: Backwoods (1-4),"TILESANITY,NOT_TILE",
21004,Backwoods,Tilesanity: Backwoods (1-5),"TILESANITY,NOT_TILE",
21005,Backwoods,Tilesanity: Backwoods (2-0),"TILESANITY,NOT_TILE",
21006,Backwoods,Tilesanity: Backwoods (2-1),"TILESANITY,NOT_TILE",
21007,Backwoods,Tilesanity: Backwoods (2-2),"TILESANITY,NOT_TILE",
21008,Backwoods,Tilesanity: Backwoods (2-3),"TILESANITY,NOT_TILE",
21009,Backwoods,Tilesanity: Backwoods (2-4),"TILESANITY,NOT_TILE",
21010,Backwoods,Tilesanity: Backwoods (2-5),"TILESANITY,NOT_TILE",
21011,Backwoods,Tilesanity: Backwoods (2-6),"TILESANITY,NOT_TILE",
21012,Backwoods,Tilesanity: Backwoods (2-7),"TILESANITY,NOT_TILE",
21013,Backwoods,Tilesanity: Backwoods (3-0),"TILESANITY,NOT_TILE",
21014,Backwoods,Tilesanity: Backwoods (3-1),"TILESANITY,NOT_TILE",
21015,Backwoods,Tilesanity: Backwoods (3-2),"TILESANITY,NOT_TILE",
21016,Backwoods,Tilesanity: Backwoods (3-3),"TILESANITY,NOT_TILE",
21017,Backwoods,Tilesanity: Backwoods (3-4),"TILESANITY,NOT_TILE",
21018,Backwoods,Tilesanity: Backwoods (3-5),"TILESANITY,NOT_TILE",
21019,Backwoods,Tilesanity: Backwoods (3-6),"TILESANITY,NOT_TILE",
21020,Backwoods,Tilesanity: Backwoods (3-7),"TILESANITY,NOT_TILE",
21021,Backwoods,Tilesanity: Backwoods (3-8),"TILESANITY,NOT_TILE",
21022,Backwoods,Tilesanity: Backwoods (3-9),"TILESANITY,NOT_TILE",
21023,Backwoods,Tilesanity: Backwoods (4-1),"TILESANITY,NOT_TILE",
21024,Backwoods,Tilesanity: Backwoods (4-2),"TILESANITY,NOT_TILE",
21025,Backwoods,Tilesanity: Backwoods (4-3),"TILESANITY,NOT_TILE",
21026,Backwoods,Tilesanity: Backwoods (4-4),"TILESANITY,NOT_TILE",
21027,Backwoods,Tilesanity: Backwoods (4-5),"TILESANITY,NOT_TILE",
21028,Backwoods,Tilesanity: Backwoods (4-6),"TILESANITY,NOT_TILE",
21029,Backwoods,Tilesanity: Backwoods (4-7),"TILESANITY,NOT_TILE",
21030,Backwoods,Tilesanity: Backwoods (4-8),"TILESANITY,NOT_TILE",
21031,Backwoods,Tilesanity: Backwoods (4-9),"TILESANITY,NOT_TILE",
21032,Backwoods,Tilesanity: Backwoods (4-10),"TILESANITY,NOT_TILE",
21033,Backwoods,Tilesanity: Backwoods (4-11),"TILESANITY,NOT_TILE",
21034,Backwoods,Tilesanity: Backwoods (4-12),"TILESANITY,NOT_TILE",
21035,Backwoods,Tilesanity: Backwoods (4-13),"TILESANITY,NOT_TILE",
21036,Backwoods,Tilesanity: Backwoods (5-1),"TILESANITY,NOT_TILE",
21037,Backwoods,Tilesanity: Backwoods (5-2),"TILESANITY,NOT_TILE",
21038,Backwoods,Tilesanity: Backwoods (5-3),"TILESANITY,NOT_TILE",
21039,Backwoods,Tilesanity: Backwoods (5-4),"TILESANITY,NOT_TILE",
21040,Backwoods,Tilesanity: Backwoods (5-5),"TILESANITY,NOT_TILE",
21041,Backwoods,Tilesanity: Backwoods (5-6),"TILESANITY,NOT_TILE",
21042,Backwoods,Tilesanity: Backwoods (5-7),"TILESANITY,NOT_TILE",
21043,Backwoods,Tilesanity: Backwoods (5-8),"TILESANITY,NOT_TILE",
21044,Backwoods,Tilesanity: Backwoods (5-9),"TILESANITY,NOT_TILE",
21045,Backwoods,Tilesanity: Backwoods (5-10),"TILESANITY,NOT_TILE",
21046,Backwoods,Tilesanity: Backwoods (5-11),"TILESANITY,NOT_TILE",
21047,Backwoods,Tilesanity: Backwoods (5-12),"TILESANITY,NOT_TILE",
21048,Backwoods,Tilesanity: Backwoods (5-13),"TILESANITY,NOT_TILE",
21049,Backwoods,Tilesanity: Backwoods (5-14),"TILESANITY,NOT_TILE",
21050,Backwoods,Tilesanity: Backwoods (6-1),"TILESANITY,NOT_TILE",
21051,Backwoods,Tilesanity: Backwoods (6-2),"TILESANITY,NOT_TILE",
21052,Backwoods,Tilesanity: Backwoods (6-3),"TILESANITY,NOT_TILE",
21053,Backwoods,Tilesanity: Backwoods (6-4),"TILESANITY,NOT_TILE",
21054,Backwoods,Tilesanity: Backwoods (6-5),"TILESANITY,NOT_TILE",
21055,Backwoods,Tilesanity: Backwoods (6-6),"TILESANITY,NOT_TILE",
21056,Backwoods,Tilesanity: Backwoods (6-7),"TILESANITY,NOT_TILE",
